"","Position","Year","Team"
"627",7,"1939","Western Suburbs"
"628",8,"1939","Newtown"
"641",1,"1940","Eastern Sydney"
"642",2,"1940","Newtown"
"643",3,"1940","Canterbury"
"644",4,"1940","St George"
"645",5,"1940","Balmain"
"646",6,"1940","South Sydney"
"647",7,"1940","North Sydney"
"648",8,"1940","Western Suburbs"
"661",1,"1941","Balmain"
"662",2,"1941","Canterbury"
"663",3,"1941","Eastern Sydney"
"664",4,"1941","St George"
"665",5,"1941","Newtown"
"666",6,"1941","Western Suburbs"
"667",7,"1941","South Sydney"
"668",8,"1941","North Sydney"
"681",1,"1942","Canterbury"
"682",2,"1942","Balmain"
"683",3,"1942","St George"
"684",4,"1942","Eastern Sydney"
"685",5,"1942","South Sydney"
"686",6,"1942","North Sydney"
"687",7,"1942","Newtown"
"688",8,"1942","Western Suburbs"
"701",1,"1943","Newtown"
"702",2,"1943","Balmain"
"703",3,"1943","North Sydney"
"704",4,"1943","St George"
"705",5,"1943","South Sydney"
"706",6,"1943","Eastern Sydney"
"707",7,"1943","Canterbury"
"708",8,"1943","Western Suburbs"
"721",1,"1944","Newtown"
"722",2,"1944","Balmain"
"723",3,"1944","St George"
"724",4,"1944","South Sydney"
"725",5,"1944","North Sydney"
"726",6,"1944","Western Suburbs"
"727",7,"1944","Eastern Sydney"
"728",8,"1944","Canterbury"
"741",1,"1945","Eastern Sydney"
"742",2,"1945","Newtown"
"743",3,"1945","Western Suburbs"
"744",4,"1945","Balmain"
"745",5,"1945","North Sydney"
"746",6,"1945","Canterbury"
"747",7,"1945","St George"
"748",8,"1945","South Sydney"
"761",1,"1946","St George"
"762",2,"1946","Newtown"
"763",3,"1946","Balmain"
"764",4,"1946","Canterbury"
"765",5,"1946","Eastern Sydney"
"766",6,"1946","North Sydney"
"767",7,"1946","Western Suburbs"
"768",8,"1946","South Sydney"
"781",1,"1947","Canterbury"
"782",2,"1947","Balmain"
"783",3,"1947","Newtown"
"784",4,"1947","Western Suburbs"
"785",5,"1947","St George"
"786",6,"1947","North Sydney"
"787",7,"1947","South Sydney"
"788",8,"1947","Eastern Sydney"
"789",9,"1947","Manly Warringah"
"790",10,"1947","Parramatta"
"801",1,"1948","Western Suburbs"
"802",2,"1948","Balmain"
"803",3,"1948","Newtown"
"804",4,"1948","St George"
"805",5,"1948","Canterbury"
"806",6,"1948","Eastern Sydney"
"807",7,"1948","South Sydney"
"808",8,"1948","Parramatta"
"809",9,"1948","Manly Warringah"
"810",10,"1948","North Sydney"
"821",1,"1949","South Sydney"
"822",2,"1949","Western Suburbs"
"823",3,"1949","St George"
"824",4,"1949","Balmain"
"825",5,"1949","Parramatta"
"826",6,"1949","Newtown"
"827",7,"1949","Canterbury"
"828",8,"1949","Manly Warringah"
"829",9,"1949","North Sydney"
"830",10,"1949","Eastern Sydney"
"841",1,"1950","South Sydney"
"842",2,"1950","Balmain"
"843",3,"1950","Newtown"
"844",4,"1950","Western Suburbs"
"845",5,"1950","St George"
"846",6,"1950","Canterbury"
"847",7,"1950","Eastern Sydney"
"848",8,"1950","Manly Warringah"
"849",9,"1950","Parramatta"
"850",10,"1950","North Sydney"
"861",1,"1951","South Sydney"
"862",2,"1951","Manly Warringah"
"863",3,"1951","St George"
"864",4,"1951","Western Suburbs"
"865",5,"1951","Eastern Sydney"
"866",6,"1951","Parramatta"
"867",7,"1951","Canterbury"
"868",8,"1951","Balmain"
"869",9,"1951","Newtown"
"870",10,"1951","North Sydney"
"881",1,"1952","Western Suburbs"
"882",2,"1952","St George"
"883",3,"1952","South Sydney"
"884",4,"1952","North Sydney"
"885",5,"1952","Manly Warringah"
"886",6,"1952","Balmain"
"887",7,"1952","Eastern Sydney"
"888",8,"1952","Newtown"
"889",9,"1952","Canterbury"
"890",10,"1952","Parramatta"
"901",1,"1953","South Sydney"
"902",2,"1953","St George"
"903",3,"1953","Eastern Sydney"
"904",4,"1953","North Sydney"
"905",5,"1953","Canterbury"
"906",6,"1953","Newtown"
"907",7,"1953","Parramatta"
"908",8,"1953","Balmain"
"909",9,"1953","Manly Warringah"
"910",10,"1953","Western Suburbs"
"921",1,"1954","Newtown"
"922",2,"1954","South Sydney"
"923",3,"1954","St George"
"924",4,"1954","North Sydney"
"925",5,"1954","Manly Warringah"
"926",6,"1954","Balmain"
"927",7,"1954","Western Suburbs"
"928",8,"1954","Canterbury"
"929",9,"1954","Eastern Sydney"
"930",10,"1954","Parramatta"
"941",1,"1955","Newtown"
"942",2,"1955","St George"
"943",3,"1955","Manly Warringah"
"944",4,"1955","South Sydney"
"945",5,"1955","North Sydney"
"946",6,"1955","Balmain"
"947",7,"1955","Eastern Sydney"
"948",8,"1955","Parramatta"
"949",9,"1955","Canterbury"
"950",10,"1955","Western Suburbs"
"961",1,"1956","St George"
