"","Adelaide","Annandale","Balmain","Brisbane","Canberra","Canterbury","Cronulla","Cumberland","Eastern.Sydney","Glebe","Gold.Coast","Gold.Coast.Titans","Illawarra","Manly.Warringah","Melbourne","Newcastle","Newtown","North.Queensland","North.Sydney","Parramatta","Penrith","South.Queensland","South.Sydney","St.George","St.George.Illawarra","University","Warriors","Western.Reds","Western.Suburbs","Wests.Tigers"
"1998",17,,13,1,7,9,11,,6,,19,,12,10,3,2,,16,5,4,14,,18,8,,,15,,20,
"1999",,,15,8,9,5,1,,4,,,,,13,3,7,,16,14,2,10,,12,,6,,11,,17,
"2000",,,,1,4,11,8,,2,,,,,12,6,3,,14,,7,5,,,,9,,13,,,10
"2001",,,,5,11,2,4,,6,,,,,10,9,3,,13,,1,14,,,,7,,8,,,12
"2002",,,,3,8,15,5,,4,,,,,9,10,2,,11,,6,12,,14,,7,,1,,,13
"2003",,,,8,4,3,12,,2,,,,,14,5,7,,11,,9,1,,15,,10,,6,,,13
"2004",,,,3,8,2,11,,1,,,,,13,6,10,,7,,12,4,,15,,5,,14,,,9
"2005",,,,3,14,12,7,,9,,,,,8,6,15,,5,,1,10,,13,,2,,11,,,4
"2006",,,,3,7,2,13,,14,,,,,5,1,4,,9,,8,12,,15,,6,,10,,,11
"2007",,,,8,14,6,11,,10,,,12,,2,1,15,,3,,5,16,,7,,13,,4,,,9
"2008",,,,5,6,16,3,,4,,,13,,2,1,9,,15,,11,12,,14,,7,,8,,,10
"2009",,,,6,13,2,15,,16,,,3,,5,4,7,,12,,8,11,,10,,1,,14,,,9
"2010",,,,10,7,13,14,,6,,,4,,8,16,11,,15,,12,2,,9,,1,,5,,,3
"2011",,,,3,15,9,13,,11,,,16,,2,1,8,,7,,14,12,,10,,5,,6,,,4
"2012",,,,8,6,1,7,,13,,,11,,4,2,12,,5,,16,15,,3,,9,,14,,,10
"2013",,,,12,13,6,5,,1,,,9,,4,3,7,,8,,16,10,,2,,14,,11,,,15
"2014",,,,8,15,7,16,,1,,,14,,2,6,12,,5,,10,4,,3,,11,,9,,,13
"2015",,,,2,10,5,6,,1,,,14,,9,4,16,,3,,12,11,,7,,8,,13,,,15
